epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4390.98,0.74538,0.4201,0.00721,0.93292,0.87315,0.90854,0.78121,0.88917,0.58804,0.0103,6.91052e-05,6.91052e-05,6.91052e-05
61,4461.3,0.71096,0.29768,0.00801,0.91796,0.88617,0.90734,0.77778,0.89804,0.60353,0.0104,5.90204e-05,5.90204e-05,5.90204e-05
62,4529.56,0.68734,0.28294,0.0075,0.92617,0.86743,0.90316,0.77582,0.8924,0.62062,0.01038,4.98338e-05,4.98338e-05,4.98338e-05
63,4597.52,0.68311,0.27571,0.00761,0.92284,0.87339,0.90456,0.77566,0.89125,0.61312,0.01042,4.15637e-05,4.15637e-05,4.15637e-05
64,4665.9,0.67736,0.27083,0.00752,0.9319,0.87387,0.90502,0.77733,0.8824,0.57963,0.01012,3.4227e-05,3.4227e-05,3.4227e-05
65,4734.31,0.6748,0.26633,0.00746,0.93066,0.87152,0.90556,0.7774,0.89266,0.58956,0.01032,2.78384e-05,2.78384e-05,2.78384e-05
66,4804.3,0.67611,0.27022,0.0076,0.92317,0.8832,0.90812,0.78082,0.88425,0.57072,0.01016,2.24107e-05,2.24107e-05,2.24107e-05
67,4872.29,0.6745,0.26725,0.00753,0.91658,0.88073,0.90553,0.77907,0.88582,0.5811,0.01018,1.79549e-05,1.79549e-05,1.79549e-05
68,4940.65,0.67072,0.26782,0.00742,0.92435,0.87727,0.90608,0.77863,0.8838,0.57174,0.01011,1.44799e-05,1.44799e-05,1.44799e-05
69,5009.04,0.66686,0.26176,0.00733,0.92231,0.87923,0.90653,0.77854,0.88405,0.57518,0.01013,1.19927e-05,1.19927e-05,1.19927e-05
70,5077.5,0.66908,0.26677,0.00742,0.92974,0.8768,0.90702,0.77644,0.88659,0.58367,0.01017,1.04984e-05,1.04984e-05,1.04984e-05
